Date,Temp_C,T_max_C,T_min_C,Humidity_pct,Wind_Speed_kmh,Solar_Rad_Wm2
28-05-2012,32.5699,39.6916,28.218,52.738,10.8007,284.7706
29-05-2012,32.7792,39.4356,28.7074,52.8376,10.264,288.456
30-05-2012,33.1215,39.4484,28.9458,49.8117,11.9212,266.4222
31-05-2012,33.0487,39.1993,28.8031,46.1108,12.5227,272.3557
01-06-2012,33.0227,39.8724,28.4922,47.0485,11.212,280.5032
02-06-2012,33.3213,40.5357,28.8496,50.7078,10.518,288.4299
03-06-2012,33.4036,39.8574,28.9082,47.3898,12.2996,283.0102
04-06-2012,32.8806,39.7757,28.596,50.8177,11.4261,288.7009
05-06-2012,32.6219,39.1445,28.5,50.9969,12.2,275.7377
06-06-2012,32.2762,38.4951,28.1209,50.4807,12.7501,260.603
07-06-2012,31.9068,37.4524,27.772,51.5912,13.6055,241.3258
08-06-2012,32.2248,38.6546,27.5329,49.9123,12.5239,269.3448
09-06-2012,32.972,38.7175,28.6635,42.7492,14.3478,224.9161
10-06-2012,32.9219,38.8407,28.4584,43.4727,12.6312,248.4163
11-06-2012,31.9378,38.4838,27.4571,47.0823,10.7932,207.3938
12-06-2012,31.8083,37.8583,27.0787,49.0158,11.6381,263.2103
13-06-2012,30.7927,37.9042,27.2685,57.9957,9.8018,237.5201
14-06-2012,31.0075,36.2269,27.4014,57.2394,11.2492,244.8763
15-06-2012,31.2074,37.6507,27.2,56.3171,10.9603,243.1865
16-06-2012,30.6403,37.0602,27.3531,57.315,11.5209,219.8135
17-06-2012,30.1584,35.4655,26.7937,58.156,13.6189,194.9343
18-06-2012,29.5927,33.5853,26.6009,57.8893,14.1276,149.2111
19-06-2012,31.0706,36.7636,26.8092,49.176,16.3025,230.4355
20-06-2012,31.122,36.733,26.584,48.9776,14.8647,239.6872
21-06-2012,30.9696,36.8851,26.595,52.6579,12.1246,256.4017
22-06-2012,31.3057,37.2215,26.9783,52.2859,10.9036,258.924
23-06-2012,31.5267,37.5996,27.0759,52.8183,10.1808,266.0208
24-06-2012,31.6042,37.9782,27.8236,51.3343,10.1962,253.9686
25-06-2012,31.3262,37.8598,27.5251,53.4029,9.7827,253.5866
26-06-2012,30.5591,36.4624,27.3501,59.528,9.0717,209.3408
27-06-2012,30.8741,35.7351,27.3005,56.7138,8.4974,198.3122
28-06-2012,30.7402,36.9874,26.9005,52.6505,12.0383,233.3003
29-06-2012,31.2351,37.0356,26.9244,51.1126,12.0387,263.9633
30-06-2012,31.8203,38.495,26.9194,45.1723,14.1055,257.5838
01-07-2012,29.7594,34.2878,26.9606,55.096,14.4537,117.4417
02-07-2012,29.4416,34.0632,26.6311,56.9353,15.9185,131.7725
03-07-2012,30.9193,36.8138,26.5716,49.436,15.1159,212.7118
04-07-2012,31.4051,37.494,26.6209,48.6398,13.1404,236.602
05-07-2012,32.2122,38.4483,26.8539,47.0708,11.7825,275.2059
06-07-2012,31.9837,38.0761,27.4372,49.4909,10.2104,247.9134
