block,year_month,date,TWS_anomaly_mm
Peravurani,2014-04,2014-04-01,-103.13295306414277
Peravurani,2014-05,2014-05-01,-56.852560993736
Peravurani,2014-06,2014-06-01,-69.76126970776025
Peravurani,2014-08,2014-08-01,-41.29048849268326
Peravurani,2014-09,2014-09-01,-58.081801976759905
Peravurani,2014-10,2014-10-01,-27.004846901336094
Peravurani,2014-11,2014-11-01,-17.563347111160827
Peravurani,2015-01,2015-01-13,-53.93123586092396
Peravurani,2015-02,2015-02-01,-38.26294172799873
Peravurani,2015-03,2015-03-01,-53.55841455382243
Peravurani,2015-04,2015-04-01,-59.3654841925399
Peravurani,2015-06,2015-06-29,-41.51845221123541
Peravurani,2015-08,2015-08-01,-9.544353930188104
Peravurani,2015-09,2015-09-01,-43.70567512081196
Peravurani,2015-12,2015-12-11,35.6456387185984
Peravurani,2016-01,2016-01-04,5.655030173569982
Peravurani,2016-03,2016-03-01,-45.282075865278465
Peravurani,2016-05,2016-05-07,-23.674373952358614
Peravurani,2016-06,2016-06-01,-15.43578963079286
Peravurani,2016-07,2016-07-01,33.655006058348405
Peravurani,2016-08,2016-08-08,-80.35810853087563
Peravurani,2016-11,2016-11-13,-80.44917869006342
Peravurani,2016-12,2016-12-11,-63.83631582691218
Peravurani,2017-01,2017-01-07,-122.19875381894802
Orathanadu,2012-01,2012-01-01,50.69663983817326
Orathanadu,2012-02,2012-02-01,37.52375328769659
Orathanadu,2012-03,2012-03-01,-20.673315329094045
Orathanadu,2012-06,2012-06-01,-50.81187367293736
Orathanadu,2012-07,2012-07-01,-21.154213724112942
Orathanadu,2012-08,2012-08-01,-16.66600818762637
Orathanadu,2012-09,2012-09-01,-33.18316112224593
Orathanadu,2012-11,2012-11-06,7.532088102464049
Orathanadu,2012-12,2012-12-01,-6.849434971852757
Orathanadu,2013-01,2013-01-01,-30.408109785758505
Orathanadu,2013-02,2013-02-01,-34.49647697782159
Orathanadu,2013-04,2013-04-11,-53.75274512986279
Orathanadu,2013-05,2013-05-01,-66.95013883180496
Orathanadu,2013-06,2013-06-01,-32.13481294140278
Orathanadu,2013-07,2013-07-01,-38.96498128686421
Orathanadu,2013-10,2013-10-01,-17.64701119832837
Orathanadu,2013-11,2013-11-01,-13.172826028652269
Orathanadu,2013-12,2013-12-01,-29.613802701102852
Orathanadu,2014-01,2014-01-01,-41.64231890516232
Orathanadu,2014-03,2014-03-01,-65.25309877836689
Orathanadu,2014-04,2014-04-01,-103.13295306414277
Orathanadu,2014-05,2014-05-01,-56.852560993736
Orathanadu,2014-06,2014-06-01,-69.76126970776025
Orathanadu,2014-08,2014-08-01,-41.29048849268326
Orathanadu,2014-09,2014-09-01,-58.081801976759905
Orathanadu,2014-10,2014-10-01,-27.004846901336094
Orathanadu,2014-11,2014-11-01,-17.563347111160827
Orathanadu,2015-01,2015-01-13,-53.93123586092396
Orathanadu,2015-02,2015-02-01,-38.26294172799873
Orathanadu,2015-03,2015-03-01,-53.55841455382243
Orathanadu,2015-04,2015-04-01,-59.3654841925399
Orathanadu,2015-06,2015-06-29,-41.51845221123541
Orathanadu,2015-08,2015-08-01,-9.544353930188104
Orathanadu,2015-09,2015-09-01,-43.70567512081196
Orathanadu,2015-12,2015-12-11,35.6456387185984
Orathanadu,2016-01,2016-01-04,5.655030173569982
Orathanadu,2016-03,2016-03-01,-45.282075865278465
Orathanadu,2016-05,2016-05-07,-23.674373952358614
Orathanadu,2016-06,2016-06-01,-15.43578963079286
Orathanadu,2016-07,2016-07-01,33.655006058348405
Orathanadu,2016-08,2016-08-08,-80.35810853087563
Orathanadu,2016-11,2016-11-13,-80.44917869006342
Orathanadu,2016-12,2016-12-11,-63.83631582691218
Orathanadu,2017-01,2017-01-07,-122.19875381894802
Thiruvidaimarudur,2012-01,2012-01-01,50.69663983817326
Thiruvidaimarudur,2012-02,2012-02-01,37.52375328769659
Thiruvidaimarudur,2012-03,2012-03-01,-20.673315329094045
Thiruvidaimarudur,2012-06,2012-06-01,-50.81187367293736
Thiruvidaimarudur,2012-07,2012-07-01,-21.154213724112942
Thiruvidaimarudur,2012-08,2012-08-01,-16.66600818762637
Thiruvidaimarudur,2012-09,2012-09-01,-33.18316112224593
Thiruvidaimarudur,2012-11,2012-11-06,7.532088102464049
Thiruvidaimarudur,2012-12,2012-12-01,-6.849434971852757
Thiruvidaimarudur,2013-01,2013-01-01,-30.408109785758505
Thiruvidaimarudur,2013-02,2013-02-01,-34.49647697782159
Thiruvidaimarudur,2013-04,2013-04-11,-53.75274512986279
Thiruvidaimarudur,2013-05,2013-05-01,-66.95013883180496
Thiruvidaimarudur,2013-06,2013-06-01,-32.13481294140278
Thiruvidaimarudur,2013-07,2013-07-01,-38.96498128686421
Thiruvidaimarudur,2013-10,2013-10-01,-17.64701119832837
Thiruvidaimarudur,2013-11,2013-11-01,-13.172826028652269
Thiruvidaimarudur,2013-12,2013-12-01,-29.613802701102852
Thiruvidaimarudur,2014-01,2014-01-01,-41.64231890516232
Thiruvidaimarudur,2014-03,2014-03-01,-65.25309877836689
Thiruvidaimarudur,2014-04,2014-04-01,-103.13295306414277
Thiruvidaimarudur,2014-05,2014-05-01,-56.852560993736
Thiruvidaimarudur,2014-06,2014-06-01,-69.76126970776025
Thiruvidaimarudur,2014-08,2014-08-01,-41.29048849268326
Thiruvidaimarudur,2014-09,2014-09-01,-58.081801976759905
Thiruvidaimarudur,2014-10,2014-10-01,-27.004846901336094
Thiruvidaimarudur,2014-11,2014-11-01,-17.563347111160827
Thiruvidaimarudur,2015-01,2015-01-13,-53.93123586092396
Thiruvidaimarudur,2015-02,2015-02-01,-38.26294172799873
Thiruvidaimarudur,2015-03,2015-03-01,-53.55841455382243
Thiruvidaimarudur,2015-04,2015-04-01,-59.3654841925399
Thiruvidaimarudur,2015-06,2015-06-29,-41.51845221123541
Thiruvidaimarudur,2015-08,2015-08-01,-9.544353930188104
Thiruvidaimarudur,2015-09,2015-09-01,-43.70567512081196
Thiruvidaimarudur,2015-12,2015-12-11,35.6456387185984
Thiruvidaimarudur,2016-01,2016-01-04,5.655030173569982
Thiruvidaimarudur,2016-03,2016-03-01,-45.282075865278465
