block,year_month,date,TWS_anomaly_mm
Sethubhavachatram,2012-08,2012-08-01,-16.66600818762637
Sethubhavachatram,2012-09,2012-09-01,-33.18316112224593
Sethubhavachatram,2012-11,2012-11-06,7.532088102464049
Sethubhavachatram,2012-12,2012-12-01,-6.849434971852757
Sethubhavachatram,2013-01,2013-01-01,-30.408109785758505
Sethubhavachatram,2013-02,2013-02-01,-34.49647697782159
Sethubhavachatram,2013-04,2013-04-11,-53.75274512986279
Sethubhavachatram,2013-05,2013-05-01,-66.95013883180496
Sethubhavachatram,2013-06,2013-06-01,-32.13481294140278
Sethubhavachatram,2013-07,2013-07-01,-38.96498128686421
Sethubhavachatram,2013-10,2013-10-01,-17.64701119832837
Sethubhavachatram,2013-11,2013-11-01,-13.172826028652269
Sethubhavachatram,2013-12,2013-12-01,-29.613802701102852
Sethubhavachatram,2014-01,2014-01-01,-41.64231890516232
Sethubhavachatram,2014-03,2014-03-01,-65.25309877836689
Sethubhavachatram,2014-04,2014-04-01,-103.13295306414277
Sethubhavachatram,2014-05,2014-05-01,-56.852560993736
Sethubhavachatram,2014-06,2014-06-01,-69.76126970776025
Sethubhavachatram,2014-08,2014-08-01,-41.29048849268326
Sethubhavachatram,2014-09,2014-09-01,-58.081801976759905
Sethubhavachatram,2014-10,2014-10-01,-27.004846901336094
Sethubhavachatram,2014-11,2014-11-01,-17.563347111160827
Sethubhavachatram,2015-01,2015-01-13,-53.93123586092396
Sethubhavachatram,2015-02,2015-02-01,-38.26294172799873
Sethubhavachatram,2015-03,2015-03-01,-53.55841455382243
Sethubhavachatram,2015-04,2015-04-01,-59.3654841925399
Sethubhavachatram,2015-06,2015-06-29,-41.51845221123541
Sethubhavachatram,2015-08,2015-08-01,-9.544353930188104
Sethubhavachatram,2015-09,2015-09-01,-43.70567512081196
Sethubhavachatram,2015-12,2015-12-11,35.6456387185984
Sethubhavachatram,2016-01,2016-01-04,5.655030173569982
Sethubhavachatram,2016-03,2016-03-01,-45.282075865278465
Sethubhavachatram,2016-05,2016-05-07,-23.674373952358614
Sethubhavachatram,2016-06,2016-06-01,-15.43578963079286
Sethubhavachatram,2016-07,2016-07-01,33.655006058348405
Sethubhavachatram,2016-08,2016-08-08,-80.35810853087563
Sethubhavachatram,2016-11,2016-11-13,-80.44917869006342
Sethubhavachatram,2016-12,2016-12-11,-63.83631582691218
Sethubhavachatram,2017-01,2017-01-07,-122.19875381894802
Thirukattupalli,2012-01,2012-01-01,50.69663983817326
Thirukattupalli,2012-02,2012-02-01,37.52375328769659
Thirukattupalli,2012-03,2012-03-01,-20.673315329094045
Thirukattupalli,2012-06,2012-06-01,-50.81187367293736
Thirukattupalli,2012-07,2012-07-01,-21.154213724112942
Thirukattupalli,2012-08,2012-08-01,-16.66600818762637
Thirukattupalli,2012-09,2012-09-01,-33.18316112224593
Thirukattupalli,2012-11,2012-11-06,7.532088102464049
Thirukattupalli,2012-12,2012-12-01,-6.849434971852757
Thirukattupalli,2013-01,2013-01-01,-30.408109785758505
Thirukattupalli,2013-02,2013-02-01,-34.49647697782159
Thirukattupalli,2013-04,2013-04-11,-53.75274512986279
Thirukattupalli,2013-05,2013-05-01,-66.95013883180496
Thirukattupalli,2013-06,2013-06-01,-32.13481294140278
Thirukattupalli,2013-07,2013-07-01,-38.96498128686421
Thirukattupalli,2013-10,2013-10-01,-17.64701119832837
Thirukattupalli,2013-11,2013-11-01,-13.172826028652269
Thirukattupalli,2013-12,2013-12-01,-29.613802701102852
Thirukattupalli,2014-01,2014-01-01,-41.64231890516232
Thirukattupalli,2014-03,2014-03-01,-65.25309877836689
Thirukattupalli,2014-04,2014-04-01,-103.13295306414277
Thirukattupalli,2014-05,2014-05-01,-56.852560993736
Thirukattupalli,2014-06,2014-06-01,-69.76126970776025
Thirukattupalli,2014-08,2014-08-01,-41.29048849268326
Thirukattupalli,2014-09,2014-09-01,-58.081801976759905
Thirukattupalli,2014-10,2014-10-01,-27.004846901336094
Thirukattupalli,2014-11,2014-11-01,-17.563347111160827
Thirukattupalli,2015-01,2015-01-13,-53.93123586092396
Thirukattupalli,2015-02,2015-02-01,-38.26294172799873
Thirukattupalli,2015-03,2015-03-01,-53.55841455382243
Thirukattupalli,2015-04,2015-04-01,-59.3654841925399
Thirukattupalli,2015-06,2015-06-29,-41.51845221123541
Thirukattupalli,2015-08,2015-08-01,-9.544353930188104
Thirukattupalli,2015-09,2015-09-01,-43.70567512081196
Thirukattupalli,2015-12,2015-12-11,35.6456387185984
Thirukattupalli,2016-01,2016-01-04,5.655030173569982
Thirukattupalli,2016-03,2016-03-01,-45.282075865278465
Thirukattupalli,2016-05,2016-05-07,-23.674373952358614
Thirukattupalli,2016-06,2016-06-01,-15.43578963079286
Thirukattupalli,2016-07,2016-07-01,33.655006058348405
Thirukattupalli,2016-08,2016-08-08,-80.35810853087563
Thirukattupalli,2016-11,2016-11-13,-80.44917869006342
Thirukattupalli,2016-12,2016-12-11,-63.83631582691218
Thirukattupalli,2017-01,2017-01-07,-122.19875381894802
Thiruppanandal,2012-01,2012-01-01,50.69663983817326
Thiruppanandal,2012-02,2012-02-01,37.52375328769659
Thiruppanandal,2012-03,2012-03-01,-20.673315329094045
Thiruppanandal,2012-06,2012-06-01,-50.81187367293736
Thiruppanandal,2012-07,2012-07-01,-21.154213724112942
Thiruppanandal,2012-08,2012-08-01,-16.66600818762637
Thiruppanandal,2012-09,2012-09-01,-33.18316112224593
Thiruppanandal,2012-11,2012-11-06,7.532088102464049
Thiruppanandal,2012-12,2012-12-01,-6.849434971852757
Thiruppanandal,2013-01,2013-01-01,-30.408109785758505
Thiruppanandal,2013-02,2013-02-01,-34.49647697782159
Thiruppanandal,2013-04,2013-04-11,-53.75274512986279
Thiruppanandal,2013-05,2013-05-01,-66.95013883180496
Thiruppanandal,2013-06,2013-06-01,-32.13481294140278
Thiruppanandal,2013-07,2013-07-01,-38.96498128686421
Thiruppanandal,2013-10,2013-10-01,-17.64701119832837
Thiruppanandal,2013-11,2013-11-01,-13.172826028652269
Thiruppanandal,2013-12,2013-12-01,-29.613802701102852
Thiruppanandal,2014-01,2014-01-01,-41.64231890516232
Thiruppanandal,2014-03,2014-03-01,-65.25309877836689
Thiruppanandal,2014-04,2014-04-01,-103.13295306414277
Thiruppanandal,2014-05,2014-05-01,-56.852560993736
Thiruppanandal,2014-06,2014-06-01,-69.76126970776025
Thiruppanandal,2014-08,2014-08-01,-41.29048849268326
Thiruppanandal,2014-09,2014-09-01,-58.081801976759905
Thiruppanandal,2014-10,2014-10-01,-27.004846901336094
Thiruppanandal,2014-11,2014-11-01,-17.563347111160827
Thiruppanandal,2015-01,2015-01-13,-53.93123586092396
Thiruppanandal,2015-02,2015-02-01,-38.26294172799873
Thiruppanandal,2015-03,2015-03-01,-53.55841455382243
Thiruppanandal,2015-04,2015-04-01,-59.3654841925399
Thiruppanandal,2015-06,2015-06-29,-41.51845221123541
Thiruppanandal,2015-08,2015-08-01,-9.544353930188104
Thiruppanandal,2015-09,2015-09-01,-43.70567512081196
Thiruppanandal,2015-12,2015-12-11,35.6456387185984
Thiruppanandal,2016-01,2016-01-04,5.655030173569982
Thiruppanandal,2016-03,2016-03-01,-45.282075865278465
Thiruppanandal,2016-05,2016-05-07,-23.674373952358614
Thiruppanandal,2016-06,2016-06-01,-15.43578963079286
Thiruppanandal,2016-07,2016-07-01,33.655006058348405
Thiruppanandal,2016-08,2016-08-08,-80.35810853087563
Thiruppanandal,2016-11,2016-11-13,-80.44917869006342
Thiruppanandal,2016-12,2016-12-11,-63.83631582691218
Thiruppanandal,2017-01,2017-01-07,-122.19875381894802
