Date,Block,Daily_Rainfall_mm
20-08-2012,Ammapettai,0.0
21-08-2012,Ammapettai,0.0487
22-08-2012,Ammapettai,0.654
23-08-2012,Ammapettai,0.0
24-08-2012,Ammapettai,12.0082
25-08-2012,Ammapettai,0.0
26-08-2012,Ammapettai,0.0734
27-08-2012,Ammapettai,0.0
28-08-2012,Ammapettai,0.302
29-08-2012,Ammapettai,12.3212
30-08-2012,Ammapettai,2.9785
31-08-2012,Ammapettai,2.1906
01-09-2012,Ammapettai,0.0
02-09-2012,Ammapettai,0.0
03-09-2012,Ammapettai,10.4304
04-09-2012,Ammapettai,9.0271
05-09-2012,Ammapettai,0.0
06-09-2012,Ammapettai,1.1446
07-09-2012,Ammapettai,22.1743
08-09-2012,Ammapettai,12.4919
09-09-2012,Ammapettai,17.2227
10-09-2012,Ammapettai,0.0
11-09-2012,Ammapettai,0.0
12-09-2012,Ammapettai,0.0
13-09-2012,Ammapettai,0.0
14-09-2012,Ammapettai,0.0
15-09-2012,Ammapettai,32.1983
16-09-2012,Ammapettai,0.0
17-09-2012,Ammapettai,8.0366
18-09-2012,Ammapettai,1.5649
19-09-2012,Ammapettai,2.2471
20-09-2012,Ammapettai,0.0
21-09-2012,Ammapettai,0.0
22-09-2012,Ammapettai,0.0
23-09-2012,Ammapettai,8.88
24-09-2012,Ammapettai,3.0631
25-09-2012,Ammapettai,7.631
26-09-2012,Ammapettai,20.1348
27-09-2012,Ammapettai,14.2421
28-09-2012,Ammapettai,10.3215
29-09-2012,Ammapettai,0.0
30-09-2012,Ammapettai,24.0383
01-10-2012,Ammapettai,0.0
02-10-2012,Ammapettai,0.0
03-10-2012,Ammapettai,0.0
04-10-2012,Ammapettai,0.0
05-10-2012,Ammapettai,0.0
06-10-2012,Ammapettai,0.0
07-10-2012,Ammapettai,0.301
08-10-2012,Ammapettai,0.9609
09-10-2012,Ammapettai,13.058
10-10-2012,Ammapettai,12.2187
11-10-2012,Ammapettai,6.4265
12-10-2012,Ammapettai,2.7079
13-10-2012,Ammapettai,11.1277
14-10-2012,Ammapettai,12.7095
15-10-2012,Ammapettai,9.1858
16-10-2012,Ammapettai,6.8008
17-10-2012,Ammapettai,22.84
18-10-2012,Ammapettai,15.3931
19-10-2012,Ammapettai,26.8046
20-10-2012,Ammapettai,38.0184
21-10-2012,Ammapettai,22.3676
22-10-2012,Ammapettai,36.8789
23-10-2012,Ammapettai,35.537
24-10-2012,Ammapettai,39.9092
25-10-2012,Ammapettai,0.0
26-10-2012,Ammapettai,0.0
27-10-2012,Ammapettai,4.7425
28-10-2012,Ammapettai,21.2904
29-10-2012,Ammapettai,37.948
30-10-2012,Ammapettai,37.9833
31-10-2012,Ammapettai,32.5207
01-11-2012,Ammapettai,0.0
02-11-2012,Ammapettai,0.0
03-11-2012,Ammapettai,0.0
04-11-2012,Ammapettai,0.0
05-11-2012,Ammapettai,0.0
06-11-2012,Ammapettai,8.0023
07-11-2012,Ammapettai,6.7328
08-11-2012,Ammapettai,3.4974
09-11-2012,Ammapettai,0.0
10-11-2012,Ammapettai,0.0
11-11-2012,Ammapettai,9.1685
12-11-2012,Ammapettai,0.0
13-11-2012,Ammapettai,0.0
14-11-2012,Ammapettai,0.0
15-11-2012,Ammapettai,0.0
16-11-2012,Ammapettai,0.0
17-11-2012,Ammapettai,0.0
18-11-2012,Ammapettai,0.0
19-11-2012,Ammapettai,0.0
20-11-2012,Ammapettai,0.0
21-11-2012,Ammapettai,0.0
22-11-2012,Ammapettai,0.0
23-11-2012,Ammapettai,14.2833
24-11-2012,Ammapettai,0.0
25-11-2012,Ammapettai,35.4791
26-11-2012,Ammapettai,0.562
27-11-2012,Ammapettai,0.0
28-11-2012,Ammapettai,0.0
29-11-2012,Ammapettai,0.0
30-11-2012,Ammapettai,2.6029
01-12-2012,Ammapettai,0.0
02-12-2012,Ammapettai,0.0
03-12-2012,Ammapettai,1.0142
04-12-2012,Ammapettai,0.0
05-12-2012,Ammapettai,0.0
06-12-2012,Ammapettai,0.0
07-12-2012,Ammapettai,0.0
08-12-2012,Ammapettai,0.0
09-12-2012,Ammapettai,0.0
10-12-2012,Ammapettai,0.0
11-12-2012,Ammapettai,0.0
12-12-2012,Ammapettai,0.0
13-12-2012,Ammapettai,0.0
14-12-2012,Ammapettai,0.0
15-12-2012,Ammapettai,0.0
16-12-2012,Ammapettai,9.6693
17-12-2012,Ammapettai,0.0
18-12-2012,Ammapettai,9.3722
19-12-2012,Ammapettai,0.2018
20-12-2012,Ammapettai,0.0
21-12-2012,Ammapettai,0.0
22-12-2012,Ammapettai,0.0
23-12-2012,Ammapettai,0.0
24-12-2012,Ammapettai,0.0
25-12-2012,Ammapettai,0.0
26-12-2012,Ammapettai,0.0
27-12-2012,Ammapettai,26.4977
28-12-2012,Ammapettai,21.2446
29-12-2012,Ammapettai,0.0
30-12-2012,Ammapettai,0.0
31-12-2012,Ammapettai,0.0
01-01-2013,Ammapettai,0.5832
02-01-2013,Ammapettai,0.0
03-01-2013,Ammapettai,0.0
04-01-2013,Ammapettai,0.0
05-01-2013,Ammapettai,0.0
06-01-2013,Ammapettai,0.0
07-01-2013,Ammapettai,0.5226
08-01-2013,Ammapettai,9.4443
09-01-2013,Ammapettai,10.427
10-01-2013,Ammapettai,0.0
11-01-2013,Ammapettai,0.0
12-01-2013,Ammapettai,0.0
13-01-2013,Ammapettai,0.405
14-01-2013,Ammapettai,0.0
15-01-2013,Ammapettai,0.0
16-01-2013,Ammapettai,0.0
17-01-2013,Ammapettai,0.0
18-01-2013,Ammapettai,0.0
19-01-2013,Ammapettai,0.0
20-01-2013,Ammapettai,0.0
21-01-2013,Ammapettai,0.0
22-01-2013,Ammapettai,0.0
23-01-2013,Ammapettai,0.0
24-01-2013,Ammapettai,0.0
25-01-2013,Ammapettai,0.0
26-01-2013,Ammapettai,0.0
27-01-2013,Ammapettai,0.0
28-01-2013,Ammapettai,0.0
29-01-2013,Ammapettai,0.0
30-01-2013,Ammapettai,0.0
31-01-2013,Ammapettai,0.0
01-02-2013,Ammapettai,0.0
02-02-2013,Ammapettai,0.0
03-02-2013,Ammapettai,0.0
04-02-2013,Ammapettai,0.0
05-02-2013,Ammapettai,6.1043
06-02-2013,Ammapettai,0.0
07-02-2013,Ammapettai,0.0
08-02-2013,Ammapettai,0.0
09-02-2013,Ammapettai,0.0
10-02-2013,Ammapettai,0.0
11-02-2013,Ammapettai,0.0
12-02-2013,Ammapettai,0.0
13-02-2013,Ammapettai,0.1058
14-02-2013,Ammapettai,14.1646
15-02-2013,Ammapettai,0.0
16-02-2013,Ammapettai,0.0423
17-02-2013,Ammapettai,0.0
18-02-2013,Ammapettai,0.1636
19-02-2013,Ammapettai,0.1574
20-02-2013,Ammapettai,0.0
21-02-2013,Ammapettai,0.0
22-02-2013,Ammapettai,0.0
23-02-2013,Ammapettai,0.0
24-02-2013,Ammapettai,0.0
25-02-2013,Ammapettai,0.0
26-02-2013,Ammapettai,0.0
27-02-2013,Ammapettai,0.0
28-02-2013,Ammapettai,0.0
01-03-2013,Ammapettai,0.0
02-03-2013,Ammapettai,0.0
03-03-2013,Ammapettai,0.0
04-03-2013,Ammapettai,1.0651
05-03-2013,Ammapettai,8.4709
06-03-2013,Ammapettai,12.6692
07-03-2013,Ammapettai,0.0
08-03-2013,Ammapettai,0.0
09-03-2013,Ammapettai,0.0
10-03-2013,Ammapettai,0.0
11-03-2013,Ammapettai,0.0
12-03-2013,Ammapettai,0.0
13-03-2013,Ammapettai,0.0
14-03-2013,Ammapettai,0.0
15-03-2013,Ammapettai,0.0
16-03-2013,Ammapettai,0.0
17-03-2013,Ammapettai,0.0
18-03-2013,Ammapettai,0.0
19-03-2013,Ammapettai,0.0
20-03-2013,Ammapettai,0.0
21-03-2013,Ammapettai,0.0
22-03-2013,Ammapettai,0.0
23-03-2013,Ammapettai,0.0
24-03-2013,Ammapettai,0.0
25-03-2013,Ammapettai,6.2856
26-03-2013,Ammapettai,1.5076
27-03-2013,Ammapettai,0.0
28-03-2013,Ammapettai,0.0
29-03-2013,Ammapettai,0.0
30-03-2013,Ammapettai,0.0
31-03-2013,Ammapettai,0.0
01-04-2013,Ammapettai,0.0
02-04-2013,Ammapettai,0.0
03-04-2013,Ammapettai,0.8082
04-04-2013,Ammapettai,0.0
05-04-2013,Ammapettai,0.0
06-04-2013,Ammapettai,0.0
07-04-2013,Ammapettai,0.0
08-04-2013,Ammapettai,0.0
09-04-2013,Ammapettai,0.0
10-04-2013,Ammapettai,0.0
11-04-2013,Ammapettai,0.0
12-04-2013,Ammapettai,0.0
13-04-2013,Ammapettai,0.0
14-04-2013,Ammapettai,0.0
15-04-2013,Ammapettai,3.9928
16-04-2013,Ammapettai,0.0
17-04-2013,Ammapettai,2.784
18-04-2013,Ammapettai,0.0
19-04-2013,Ammapettai,0.0
20-04-2013,Ammapettai,0.0
21-04-2013,Ammapettai,0.0197
22-04-2013,Ammapettai,0.0
23-04-2013,Ammapettai,0.0
24-04-2013,Ammapettai,0.6384
25-04-2013,Ammapettai,0.0
26-04-2013,Ammapettai,0.0
27-04-2013,Ammapettai,0.0
28-04-2013,Ammapettai,0.0
29-04-2013,Ammapettai,0.0
30-04-2013,Ammapettai,0.0
01-05-2013,Ammapettai,0.0
02-05-2013,Ammapettai,1.6395
03-05-2013,Ammapettai,4.2931
04-05-2013,Ammapettai,0.0
05-05-2013,Ammapettai,9.501
06-05-2013,Ammapettai,4.6428
07-05-2013,Ammapettai,0.0134
08-05-2013,Ammapettai,0.0
09-05-2013,Ammapettai,0.0
10-05-2013,Ammapettai,0.0
11-05-2013,Ammapettai,5.5173
12-05-2013,Ammapettai,13.3055
13-05-2013,Ammapettai,14.2589
14-05-2013,Ammapettai,0.7492
15-05-2013,Ammapettai,0.1667
16-05-2013,Ammapettai,0.0
17-05-2013,Ammapettai,0.0
18-05-2013,Ammapettai,0.0
19-05-2013,Ammapettai,0.0
20-05-2013,Ammapettai,0.0
21-05-2013,Ammapettai,0.0
22-05-2013,Ammapettai,0.0
23-05-2013,Ammapettai,0.0
24-05-2013,Ammapettai,0.0
25-05-2013,Ammapettai,1.235
26-05-2013,Ammapettai,0.0
27-05-2013,Ammapettai,0.0
28-05-2013,Ammapettai,0.0
29-05-2013,Ammapettai,3.5309
30-05-2013,Ammapettai,16.8037
31-05-2013,Ammapettai,6.2143
01-06-2013,Ammapettai,0.068
02-06-2013,Ammapettai,0.0
03-06-2013,Ammapettai,0.0
04-06-2013,Ammapettai,0.0
05-06-2013,Ammapettai,0.8984
06-06-2013,Ammapettai,7.0678
07-06-2013,Ammapettai,2.014
08-06-2013,Ammapettai,0.1888
09-06-2013,Ammapettai,0.0
10-06-2013,Ammapettai,0.0
11-06-2013,Ammapettai,1.1669
12-06-2013,Ammapettai,3.1289
13-06-2013,Ammapettai,1.2171
14-06-2013,Ammapettai,0.0
15-06-2013,Ammapettai,0.7868
16-06-2013,Ammapettai,0.0
17-06-2013,Ammapettai,0.0
18-06-2013,Ammapettai,0.2737
19-06-2013,Ammapettai,0.0
20-06-2013,Ammapettai,0.0
21-06-2013,Ammapettai,0.0057
22-06-2013,Ammapettai,0.0
23-06-2013,Ammapettai,0.0
24-06-2013,Ammapettai,4.4373
25-06-2013,Ammapettai,0.084
26-06-2013,Ammapettai,0.0
27-06-2013,Ammapettai,3.1774
28-06-2013,Ammapettai,2.7403
29-06-2013,Ammapettai,2.4078
30-06-2013,Ammapettai,1.3464
01-07-2013,Ammapettai,0.1519
02-07-2013,Ammapettai,0.0
03-07-2013,Ammapettai,0.0
04-07-2013,Ammapettai,0.0
05-07-2013,Ammapettai,2.0581
06-07-2013,Ammapettai,3.9702
07-07-2013,Ammapettai,2.8304
08-07-2013,Ammapettai,3.3295
09-07-2013,Ammapettai,0.9581
10-07-2013,Ammapettai,6.1379
11-07-2013,Ammapettai,1.5847
12-07-2013,Ammapettai,1.2173
13-07-2013,Ammapettai,0.0
14-07-2013,Ammapettai,0.0
15-07-2013,Ammapettai,1.449
16-07-2013,Ammapettai,2.4674
17-07-2013,Ammapettai,2.3352
18-07-2013,Ammapettai,1.8767
19-07-2013,Ammapettai,2.8337
20-07-2013,Ammapettai,0.9496
21-07-2013,Ammapettai,0.0
22-07-2013,Ammapettai,0.5829
23-07-2013,Ammapettai,1.2897
24-07-2013,Ammapettai,0.0421
25-07-2013,Ammapettai,0.0014
26-07-2013,Ammapettai,0.0
27-07-2013,Ammapettai,0.0
28-07-2013,Ammapettai,0.0
29-07-2013,Ammapettai,2.0438
30-07-2013,Ammapettai,0.0
31-07-2013,Ammapettai,0.0
01-08-2013,Ammapettai,0.0
02-08-2013,Ammapettai,0.0
03-08-2013,Ammapettai,2.1509
04-08-2013,Ammapettai,2.636
05-08-2013,Ammapettai,33.1757
06-08-2013,Ammapettai,8.7705
07-08-2013,Ammapettai,0.0
08-08-2013,Ammapettai,1.7526
09-08-2013,Ammapettai,28.3852
10-08-2013,Ammapettai,9.7346
11-08-2013,Ammapettai,8.6226
12-08-2013,Ammapettai,1.6111
13-08-2013,Ammapettai,16.2471
14-08-2013,Ammapettai,13.4376
15-08-2013,Ammapettai,18.1656
16-08-2013,Ammapettai,20.9261
17-08-2013,Ammapettai,0.0173
18-08-2013,Ammapettai,0.0
19-08-2013,Ammapettai,0.0
20-08-2013,Ammapettai,0.0
21-08-2013,Ammapettai,0.0
22-08-2013,Ammapettai,0.0
23-08-2013,Ammapettai,0.0
24-08-2013,Ammapettai,0.0
25-08-2013,Ammapettai,2.2367
26-08-2013,Ammapettai,3.9776
27-08-2013,Ammapettai,0.0
28-08-2013,Ammapettai,17.2232
29-08-2013,Ammapettai,13.1665
30-08-2013,Ammapettai,0.0
31-08-2013,Ammapettai,0.0
01-09-2013,Ammapettai,0.0
02-09-2013,Ammapettai,0.0
03-09-2013,Ammapettai,0.0
04-09-2013,Ammapettai,0.0
05-09-2013,Ammapettai,12.9818
06-09-2013,Ammapettai,31.9643
07-09-2013,Ammapettai,20.3673
08-09-2013,Ammapettai,23.4092
09-09-2013,Ammapettai,9.39
10-09-2013,Ammapettai,8.8782
11-09-2013,Ammapettai,24.491
12-09-2013,Ammapettai,17.6122
13-09-2013,Ammapettai,13.4523
14-09-2013,Ammapettai,3.9963
15-09-2013,Ammapettai,0.0
16-09-2013,Ammapettai,0.0
17-09-2013,Ammapettai,13.5825
18-09-2013,Ammapettai,0.0
19-09-2013,Ammapettai,0.0
20-09-2013,Ammapettai,6.7912
21-09-2013,Ammapettai,0.0
22-09-2013,Ammapettai,0.0
23-09-2013,Ammapettai,0.0
24-09-2013,Ammapettai,0.0
25-09-2013,Ammapettai,0.0
26-09-2013,Ammapettai,0.0
27-09-2013,Ammapettai,0.0
28-09-2013,Ammapettai,7.0742
29-09-2013,Ammapettai,0.0
30-09-2013,Ammapettai,0.0
01-10-2013,Ammapettai,0.0
02-10-2013,Ammapettai,0.0
03-10-2013,Ammapettai,0.0
04-10-2013,Ammapettai,0.0
05-10-2013,Ammapettai,0.0
06-10-2013,Ammapettai,0.0
07-10-2013,Ammapettai,0.0
08-10-2013,Ammapettai,4.9731
09-10-2013,Ammapettai,16.8444
10-10-2013,Ammapettai,15.1815
11-10-2013,Ammapettai,0.0
12-10-2013,Ammapettai,0.0
13-10-2013,Ammapettai,0.0
14-10-2013,Ammapettai,0.0
15-10-2013,Ammapettai,6.0569
16-10-2013,Ammapettai,1.7108
17-10-2013,Ammapettai,0.0
18-10-2013,Ammapettai,0.0
19-10-2013,Ammapettai,6.5028
20-10-2013,Ammapettai,14.012
21-10-2013,Ammapettai,14.5656
22-10-2013,Ammapettai,20.9612
23-10-2013,Ammapettai,10.6506
24-10-2013,Ammapettai,0.826
25-10-2013,Ammapettai,0.0063
26-10-2013,Ammapettai,0.0
27-10-2013,Ammapettai,0.0
28-10-2013,Ammapettai,0.0
29-10-2013,Ammapettai,0.0
30-10-2013,Ammapettai,0.0
31-10-2013,Ammapettai,0.0
01-11-2013,Ammapettai,0.0
