crop_id,crop_name,season,stage_name,L_days,Kc_ini,Kc_mid,Kc_end,Kc,Zr_min_m,Zr_max_m,Zr_stage_m,p_fraction,GDD_start,GDD_end,Stage_Critical,Tbase_C
23,small onion,Rabi,Mid,50,0.7,1.0,0.75,1.0,0.3,0.5,0.5,0.3,440,990,1,7.0
23,small onion,Rabi,Late,30,0.7,1.0,0.75,0.75,0.3,0.5,0.5,0.3,990,1320,0,7.0
24,betelvine,All,Initial,60,0.7,1.0,0.95,0.7,0.3,0.6,0.3,0.4,0,840,0,15.0
24,betelvine,All,Development,60,0.7,1.0,0.95,0.85,0.3,0.6,0.45,0.4,840,1680,0,15.0
24,betelvine,All,Mid,180,0.7,1.0,0.95,1.0,0.3,0.6,0.6,0.4,1680,4200,1,15.0
24,betelvine,All,Late,60,0.7,1.0,0.95,0.95,0.3,0.6,0.6,0.4,4200,5040,0,15.0
25,watermelon,Kharif,Initial,20,0.4,1.0,0.75,0.4,0.8,1.5,0.8,0.4,0,280,0,15.0
25,watermelon,Kharif,Development,30,0.4,1.0,0.75,0.7,0.8,1.5,1.15,0.4,280,700,0,15.0
25,watermelon,Kharif,Mid,30,0.4,1.0,0.75,1.0,0.8,1.5,1.5,0.4,700,1120,1,15.0
25,watermelon,Kharif,Late,30,0.4,1.0,0.75,0.75,0.8,1.5,1.5,0.4,1120,1540,0,15.0
26,marigold,All,Initial,15,0.5,1.05,0.9,0.5,0.4,0.8,0.4,0.45,0,195,0,12.0
26,marigold,All,Development,30,0.5,1.05,0.9,0.775,0.4,0.8,0.6,0.45,195,585,0,12.0
26,marigold,All,Mid,35,0.5,1.05,0.9,1.05,0.4,0.8,0.8,0.45,585,1040,1,12.0
26,marigold,All,Late,20,0.5,1.05,0.9,0.9,0.4,0.8,0.8,0.45,1040,1300,0,12.0
27,tuberose,All,Initial,30,0.5,1.05,0.9,0.5,0.3,0.6,0.3,0.45,0,390,0,12.0
27,tuberose,All,Development,30,0.5,1.05,0.9,0.775,0.3,0.6,0.45,0.45,390,780,0,12.0
27,tuberose,All,Mid,60,0.5,1.05,0.9,1.05,0.3,0.6,0.6,0.45,780,1560,1,12.0
27,tuberose,All,Late,30,0.5,1.05,0.9,0.9,0.3,0.6,0.6,0.45,1560,1950,0,12.0
