Date,block,SSM_m3m3
12-05-16,Ammapettai,0.322789242
13-05-16,Ammapettai,0.280550255
14-05-16,Ammapettai,0.184929901
15-05-16,Ammapettai,0.190037049
16-05-16,Ammapettai,0.246234573
17-05-16,Ammapettai,0.351152144
18-05-16,Ammapettai,0.184148856
19-05-16,Ammapettai,0.320740302
20-05-16,Ammapettai,0.170330866
21-05-16,Ammapettai,0.241191336
22-05-16,Ammapettai,0.295986415
23-05-16,Ammapettai,0.209893563
24-05-16,Ammapettai,0.216252099
25-05-16,Ammapettai,0.222896195
26-05-16,Ammapettai,0.184684517
27-05-16,Ammapettai,0.198628399
28-05-16,Ammapettai,0.162219215
29-05-16,Ammapettai,0.222181952
30-05-16,Ammapettai,0.190140196
31-05-16,Ammapettai,0.175948108
01-06-16,Ammapettai,0.206884956
02-06-16,Ammapettai,0.225819882
03-06-16,Ammapettai,0.234492209
04-06-16,Ammapettai,0.305795811
05-06-16,Ammapettai,0.188595893
06-06-16,Ammapettai,0.30828993
07-06-16,Ammapettai,0.231323353
08-06-16,Ammapettai,0.214955611
09-06-16,Ammapettai,0.287666807
10-06-16,Ammapettai,0.486797632
11-06-16,Ammapettai,0.405040838
12-06-16,Ammapettai,0.370745051
13-06-16,Ammapettai,0.170632471
14-06-16,Ammapettai,0.263804551
15-06-16,Ammapettai,0.185658005
16-06-16,Ammapettai,0.201663325
17-06-16,Ammapettai,0.214478218
18-06-16,Ammapettai,0.199451969
19-06-16,Ammapettai,0.166677735
20-06-16,Ammapettai,0.277231872
21-06-16,Ammapettai,0.277101922
22-06-16,Ammapettai,0.26774549
23-06-16,Ammapettai,0.245887355
24-06-16,Ammapettai,0.228543623
25-06-16,Ammapettai,0.253935382
26-06-16,Ammapettai,0.235508042
27-06-16,Ammapettai,0.298854735
28-06-16,Ammapettai,0.213512822
29-06-16,Ammapettai,0.200278028
30-06-16,Ammapettai,0.269993801
01-07-16,Ammapettai,0.21917704
02-07-16,Ammapettai,0.203274091
03-07-16,Ammapettai,0.221605465
04-07-16,Ammapettai,0.208009378
05-07-16,Ammapettai,0.193589921
06-07-16,Ammapettai,0.239363009
07-07-16,Ammapettai,0.304441657
08-07-16,Ammapettai,0.212659872
09-07-16,Ammapettai,0.255797359
10-07-16,Ammapettai,0.324694473
11-07-16,Ammapettai,0.407840375
12-07-16,Ammapettai,0.364484938
13-07-16,Ammapettai,0.317334998
14-07-16,Ammapettai,0.219928916
15-07-16,Ammapettai,0.213862277
16-07-16,Ammapettai,0.322311138
17-07-16,Ammapettai,0.293884322
18-07-16,Ammapettai,0.222429229
